,"Hartford, CT","Bridgeport, CT","New Haven, CT","Norwich, CT","Torrington, CT"
2002-02-28,180757.91371229748,359231.46441119694,181460.18616127467,178627.1081555079,185891.35318575863
2002-03-31,181829.08283728847,362269.628455735,182595.6228036437,179515.15539050233,186628.8556580716
2002-04-30,182942.72119025045,365370.1752788822,184353.63339313315,180374.40375904003,187596.43074009265
2002-05-31,184258.57709409657,368581.81775309175,186605.07366157256,181622.53372781913,188829.60374032907
2002-06-30,185591.74059847736,372168.3356987249,189135.00355454473,183565.57610671408,190425.22642758183
2002-07-31,186789.0682307557,375632.7356982602,191741.63378881617,186308.36082100452,192084.53193662688
2002-08-31,188314.03695474347,379344.75797999394,193735.4022039328,189336.80426397696,193645.70287963536
2002-09-30,190182.4591302985,382664.93581569527,195022.55262029576,192023.86534972617,195197.1996138077
2002-10-31,192390.9409533447,386792.66051044007,196567.0417797798,194989.47477946096,197093.1234862794
2002-11-30,194560.19626532457,391495.83251636504,198590.7884823638,198395.8906023686,199404.33392913183
2002-12-31,196267.56309372323,396142.3894939002,201074.23996792993,201042.7645583324,201992.0055899925
2003-01-31,198035.3797735291,400106.82483190903,203163.2256636289,202387.28710302245,204306.31181952267
2003-02-28,199633.82365360076,403545.86384739965,204565.98199770015,202583.6629827472,206601.118245696
2003-03-31,201418.1508845893,407288.279511099,205941.95992854043,203245.11066805176,208605.32182309113
2003-04-30,202793.162971582,412133.4424269229,207827.3240177332,204331.66219667307,210624.52818930984
2003-05-31,204442.988672363,417359.8995213099,210382.8033791138,206026.1227868915,212543.8868658984
2003-06-30,206206.7421462631,421894.3809439533,213124.2970529588,207981.85307650585,215012.95323333587
2003-07-31,208127.02054978503,425451.1912706832,215773.77236758615,210176.43817713353,217686.11537901
2003-08-31,209892.47577945143,428406.3814777758,217982.1384586025,212684.67817279315,220537.37685206777
2003-09-30,211574.535684707,432527.2469490168,220197.9498806222,215387.47108394533,223450.8847579379
2003-10-31,213259.0826715231,436503.06270265096,221744.326911228,218119.70140987044,226321.0634673272
2003-11-30,214807.76819309208,440223.7158338825,224005.2970048705,221325.7668842672,228764.34480681017
2003-12-31,215973.64868199403,443822.5156554608,226418.8372228405,224560.20688243065,230940.37336918153
2004-01-31,217370.75567746905,447511.6544894202,228695.9052711714,227152.82387805465,232403.3139306967
2004-02-29,218698.9142413945,451264.5405230012,230173.859641109,229252.83205000436,233565.7429326792
2004-03-31,220494.58832131609,454670.8674336034,231293.9579124908,231208.8227833308,234304.39386241033
2004-04-30,222203.1838116888,458072.27857380034,233171.58526653345,233769.3694995362,236133.2670212
2004-05-31,224128.8768651518,462268.8388518137,235981.4313084872,236091.4245209384,238551.46053636612
2004-06-30,226109.81555089337,466725.91390815494,239546.48714767024,238454.33366459984,241319.2377109807
2004-07-31,228100.84381437473,471548.7713131632,243184.91594082935,241189.4970715388,243193.9386959511
2004-08-31,230384.12049778295,476257.0462500455,246185.98849296977,243935.05184502364,244953.75277322915
2004-09-30,232511.1716329387,481172.9200414324,248888.4987843436,246860.3692775813,246779.74489022116
2004-10-31,234888.908057126,487363.0706438618,251518.07324010425,249888.9401869529,249002.66139595196
2004-11-30,237149.0691175103,494296.4261646951,254682.91449690287,252882.9994775858,251326.27322051852
2004-12-31,239249.15263916645,500537.2076226685,257623.7010259068,255776.62920591692,253786.54866488551
2005-01-31,241153.27870707135,505053.11518141674,259610.60204668329,258465.80257065812,256182.5913695879
2005-02-28,242774.87566780276,509065.0940858088,260881.41160709792,260894.9104858061,258402.19847077024
2005-03-31,244806.6151408583,514186.1446937565,262359.9328069162,263423.3032222319,260670.4220243435
2005-04-30,246794.8297981337,519845.25702486007,264809.2798614741,266059.76620291435,262904.8325229411
2005-05-31,248712.60990395772,525337.5842043273,267986.2015173289,269491.0721128287,265340.719458903
2005-06-30,250663.5557705546,530918.9145168626,271048.11102183623,273076.243983839,267686.4256702563
2005-07-31,252905.21554213716,535653.8665351329,273825.00707627594,276444.64577220986,270105.8870086814
2005-08-31,255330.8304689102,539700.9034315514,277022.6979437946,279354.2610040039,272621.5073740587
2005-09-30,257683.82255755537,541909.4273607885,280829.5277927297,281972.3143826469,275298.1162268337
2005-10-31,259815.13323089303,543482.408205889,285526.0575375928,283860.41772375925,278077.5144936013
2005-11-30,261987.81771320265,545460.8911690823,289955.6257016926,284782.1266216271,280500.34136869997
2005-12-31,263698.8760963504,548683.1706132678,293129.18761178013,285775.3917663972,282768.7552798208
2006-01-31,265117.95806768694,552129.219917194,294754.8405150112,287032.0168359733,284707.22051068285
2006-02-28,266240.9887363567,554860.930095341,294177.2501247911,289001.47911255184,286583.3102341225
2006-03-31,267177.57536125445,556570.1496496543,295653.2129683436,290602.40231954685,287641.75927244633
