,interest,vacancy,inflation,price,value,adj_price,adj_value,next_quarter,increase,interest_ratio,vacancy_ratio,price_ratio,value_ratio,inflation_ratio
2008-08-16,6.52,9.9,218.69,259750.0,268267.7684542562,118775.43554803604,122670.34087258503,109311.15208324538,0,1.06505942657579,0.9893177119228119,1.053326695929043,0.9854765238846415,1.0145862136156552
2008-08-23,6.47,9.9,218.69,269000.0,268267.7684542562,123005.1671315561,122670.34087258503,110249.44523417452,0,1.054891304347826,0.9896701099633456,1.0875439161553502,0.9859538397860742,1.0140931543031604
2008-08-30,6.4,9.9,218.69,230000.0,268267.7684542562,105171.70423887695,122670.34087258503,111164.72246662693,1,1.042016806722689,0.99,0.9319786311547515,0.9864007798954144,1.0136323389173851
2008-09-06,6.35,9.9,218.877,225000.0,265973.4646845233,102797.46158801517,121517.32008594931,105251.70531414679,1,1.032782719186785,0.9903094717099095,0.9142404376164228,0.9786386850823086,1.0140396297080783
2008-09-13,5.93,9.9,218.877,250700.0,265973.4646845233,114539.21608940182,121517.32008594931,106434.30874464281,0,0.9655121373593842,0.990600363856883,1.0180911114693536,0.9792725805363418,1.013608396782023
2008-09-20,5.78,9.9,218.877,280000.0,265973.4646845233,127925.72997619669,121517.32008594931,117961.8086848202,0,0.9427228245226902,0.9908743008536945,1.1325122619434242,0.9798699386315726,1.0132028654110468
2008-09-27,6.09,9.9,218.877,250000.0,265973.4646845233,114219.4017644613,121517.32008594931,99087.91929524897,0,0.9934747145187602,0.9911327231121281,1.0108490091946827,0.9804338298647972,1.0128208043606044
2008-10-04,6.1,10.1,216.995,249950.0,263073.30590315507,115186.98587525057,121234.73163121502,108524.8639900346,0,0.9952413324269205,1.0108423686405337,1.0103480334694208,0.970558959343187,1.0039974465078219
2008-10-11,5.94,10.1,216.995,200000.0,263073.30590315507,92168.0223046614,121234.73163121502,104962.41736775303,1,0.9699457169336688,1.0105462412114656,0.8126474296181435,0.971331851790209,1.0038889872503536
2008-10-18,6.46,10.1,216.995,228250.0,263073.30590315507,105186.75545519481,121234.73163121502,104278.23887738107,0,1.053336193949796,1.010265859436694,0.929208327574995,0.9720652020344591,1.0037862579882642
2008-10-25,6.04,10.1,216.995,240000.0,263073.30590315507,110601.62676559367,121234.73163121502,135398.79175383746,1,0.9852356853067882,1.01,0.9776181836982168,0.9727619689337085,1.0036888163267632
2008-11-01,6.46,10.1,216.995,222140.0,262080.6524134101,102371.02237378742,120777.27708629698,90142.68587950447,0,1.0523315007126859,1.0097475631092225,0.9070242935436684,0.9698408593195263,1.0035962642696352
2008-11-08,6.2,10.1,213.153,205000.0,262080.6524134101,96175.04797023734,122954.24057527227,90324.62800592369,0,1.0097318768619663,1.0095075572891272,0.8403798256849271,0.9705547885489397,0.9861680123224834
2008-11-15,6.14,10.1,213.153,233000.0,262080.6524134101,109311.15208324538,122954.24057527227,110481.65299358265,1,0.9999612237775796,1.0092790863668806,0.9561841743995513,0.9712356990376776,0.9864928970271414
2008-11-22,6.04,10.1,213.153,235000.0,262080.6524134101,110249.44523417452,122954.24057527227,110590.83743146899,1,0.9840488008183988,1.009061338289963,0.9651910371433784,0.9718858296540772,0.9868028702360295
2008-12-06,5.53,10.1,211.398,235000.0,260405.14908692575,111164.72246662693,123182.40905161154,98825.85472599356,0,0.9029911675202257,1.0088535754824064,0.965955216671976,0.9664264607603271,0.9791524949487102
2008-12-13,5.47,10.1,211.398,222500.0,260405.14908692575,105251.70531414679,123182.40905161154,98355.25541777453,0,0.8953188084239624,1.0086551264980026,0.916314097372272,0.9671480292561226,0.9796063248999687
2008-12-20,5.19,10.1,211.398,225000.0,260405.14908692575,106434.30874464281,123182.40905161154,103531.84780818371,0,0.8522775953162931,1.0084653787714348,0.9280904740255722,0.967839234173641,0.9800408169435668
2009-01-03,5.1,10.1,211.933,250000.0,256556.26249143932,117961.8086848202,121055.36301163072,103427.68759196838,0,0.8404038987448287,1.0082837723024638,1.030527287924062,0.9544778334237218,0.9828866038179515
2009-01-10,5.01,10.1,211.933,210000.0,256556.26249143932,99087.91929524897,121055.36301163072,101077.05832851454,1,0.8285842263032767,1.008109794135995,0.8680727493190192,0.9553838989443891,0.9832371564637737
2009-01-17,4.96,10.1,211.933,230000.0,256556.26249143932,108524.8639900346,121055.36301163072,116003.55415144634,1,0.8233341237846811,1.0079429735234215,0.9517029740929054,0.9562546000029327,0.9835736358712119
2009-01-24,5.12,10.1,211.933,222450.0,256556.26249143932,104962.41736775303,121055.36301163072,107188.6944134945,1,0.8524524657853552,1.0077828776691278,0.9219288517105727,0.9570919674219095,0.9838968728371797
2009-01-31,5.1,10.1,211.933,221000.0,256556.26249143932,104278.23887738107,121055.36301163072,107658.82026618526,1,0.8516420549425363,1.0076291079812207,0.9174319394271891,0.9578978794497118,0.9842076340270889
2009-02-07,5.25,10.1,212.705,288000.0,257350.71901517897,135398.79175383746,120989.5014292936,109331.43055646836,0,0.8787742226228032,1.0074812967581048,1.1910878379560628,0.9615878259832984,0.9880247116497778
2009-02-14,5.16,10.1,212.705,191738.0,257350.71901517897,90142.68587950447,120989.5014292936,110317.24422829568,1,0.8651576707293481,1.0074812967581048,0.7944448012361318,0.9627355939532403,0.9879778488217908
2009-02-21,5.04,10.1,212.705,192125.0,257350.71901517897,90324.62800592369,120989.5014292936,106796.48111462666,1,0.8467577784239605,1.0074812967581048,0.7982506162561874,0.9638861051892543,0.9879762603292518
2009-02-28,5.07,10.1,212.705,235000.0,257350.71901517897,110481.65299358265,120989.5014292936,95647.39792134146,0,0.8535906235835007,1.0074812967581048,0.9773268957722454,0.9650393695380778,0.9879746718418205
2009-03-07,5.15,10.1,212.495,235000.0,255293.1950742803,110590.83743146899,120140.80099497885,108478.04832627218,0,0.8695652173913045,1.0074812967581044,0.9775223456248636,0.9586130508876981,0.9870161887862499
2009-03-14,5.03,10.1,212.495,210000.0,255293.1950742803,98825.85472599356,120140.80099497885,93114.20457190745,0,0.8526535402268876,1.0074812967581048,0.8742299351220516,0.9597272508359861,0.9870331167675147
2009-03-21,4.98,10.1,212.495,209000.0,255293.1950742803,98355.25541777453,120140.80099497885,107081.33525769356,1,0.8470772954761049,1.0074812967581048,0.8721231391650296,0.960844043876733,0.9871171481023232
2009-03-28,4.85,10.1,212.495,220000.0,255293.1950742803,103531.84780818371,120140.80099497885,102425.62502909818,0,0.828433465821371,1.0074812967581048,0.9187985295689686,0.9619634390728926,0.9872011937464112
2009-04-04,4.78,10.6,212.709,220000.0,252081.55172764507,103427.68759196838,118510.05445357041,112305.91544573083,1,0.8194105624052219,1.05634342660023,0.9197329590727678,0.951191247626572,0.9882606351640572
2009-04-11,4.87,10.6,212.709,215000.0,252081.55172764507,101077.05832851454,118510.05445357041,100244.03192906309,0,0.837544648763064,1.0553321845682557,0.9025487152283621,0.9525244903559451,0.9883258921331411
2009-04-18,4.82,10.6,212.709,246750.0,252081.55172764507,116003.55415144634,118510.05445357041,111770.34918919926,0,0.8318619316296051,1.054121246892331,1.0359366094959805,0.9538311653202923,0.9884347906746977
2009-04-25,4.8,10.6,212.709,228000.0,252081.55172764507,107188.6944134945,118510.05445357041,106414.68662388348,0,0.8313903137699021,1.0529130850047757,0.9577593085262147,0.9551414302078617,0.9885437132168379
2009-05-02,4.78,10.6,212.709,229000.0,249595.91954595948,107658.82026618526,117341.49450467985,107113.25130631597,0,0.8309708478202729,1.0517076893722572,0.9633608186722431,0.9471960301435914,0.9886526597674972
2009-05-09,4.84,10.6,213.022,232900.0,249595.91954595948,109331.43055646836,117169.08091462828,106755.78453897747,0,0.8447621924613163,1.0505050505050504,0.9798942382869311,0.9486733279207598,0.9901888816383448
