,United States
2008-05-31,192538.27181282255
2008-06-30,191066.34436020243
2008-07-31,189490.86157627305
2008-08-31,187734.76885036015
2008-09-30,185955.4907234279
2008-10-31,184219.5211944289
2008-11-30,182517.3009051433
2008-12-31,180827.272816655
2009-01-31,179173.71627639982
2009-02-28,177764.1719040662
2009-03-31,176473.42821719966
2009-04-30,175260.013339109
2009-05-31,174032.80797908374
2009-06-30,172876.23471971694
2009-07-31,171831.26306559646
2009-08-31,170866.05947665172
2009-09-30,169979.09277118547
2009-10-31,169252.81799672262
2009-11-30,168846.46363888282
2009-12-31,168667.28958042272
2010-01-31,168613.71066891943
2010-02-28,168554.62137116442
2010-03-31,168565.3708439326
2010-04-30,168681.67933245905
2010-05-31,168761.68994676284
2010-06-30,168649.74935142478
2010-07-31,168155.89135708145
2010-08-31,167409.35093959302
2010-09-30,166472.52592854746
2010-10-31,165500.09736729073
2010-11-30,164509.55739809762
2010-12-31,163581.17913092708
2011-01-31,162718.73169826812
2011-02-28,161915.8076409404
2011-03-31,161154.93226436328
2011-04-30,160359.91896342314
2011-05-31,159531.44917247767
2011-06-30,158719.39804288515
2011-07-31,158041.59900830442
2011-08-31,157474.14543176533
2011-09-30,156991.22220706835
2011-10-31,156510.928292061
2011-11-30,156096.9374646041
2011-12-31,155735.72680224723
2012-01-31,155515.88788913228
2012-02-29,155508.80085513953
2012-03-31,155731.89947776627
2012-04-30,156103.23898612618
2012-05-31,156541.7363637165
2012-06-30,157051.37418291694
2012-07-31,157599.60271223588
2012-08-31,158067.74029798617
2012-09-30,158606.44338076323
2012-10-31,159192.4039928028
2012-11-30,159889.87116219965
2012-12-31,160614.94494034347
2013-01-31,161434.74605050503
2013-02-28,162315.57608833877
2013-03-31,163238.16567936089
2013-04-30,164246.18629940972
2013-05-31,165428.9972501112
2013-06-30,166745.45484233074
2013-07-31,167939.85273307542
2013-08-31,169104.39457123308
2013-09-30,170148.62828064914
2013-10-31,171310.5026065946
2013-11-30,172251.2119689422
2013-12-31,173124.22811070635
2014-01-31,173886.7314993654
2014-02-28,174700.75443778536
2014-03-31,175514.28084132462
2014-04-30,176326.1582056662
2014-05-31,177262.10239715083
2014-06-30,178097.8536262888
2014-07-31,178922.77200499782
2014-08-31,179555.94342075862
2014-09-30,180150.88900260464
2014-10-31,180539.8021099615
2014-11-30,181046.75056370423
2014-12-31,181669.2683646473
2015-01-31,182447.20947605115
2015-02-28,183232.5626089503
2015-03-31,184033.7310420581
2015-04-30,184914.18267038828
2015-05-31,185882.9438848576
2015-06-30,186821.0880921863
2015-07-31,187789.1552171872
2015-08-31,188802.2039354118
2015-09-30,189922.58133892433
2015-10-31,191092.06364146736
2015-11-30,192136.30100366645
2015-12-31,193170.84353197156
2016-01-31,194291.6423543723
2016-02-29,195411.84394540184
2016-03-31,196235.71121444748
2016-04-30,196983.3039073598
2016-05-31,197740.4489469916
2016-06-30,198664.28293718304
2016-07-31,199377.21687810015
2016-08-31,200052.55205311804
2016-09-30,200796.56459761935
2016-10-31,201720.96689440744
2016-11-30,202732.59126766716
2016-12-31,203803.01664685356
2017-01-31,204873.640740182
2017-02-28,205983.88496459424
2017-03-31,207124.89971360445
2017-04-30,208377.0657151807
2017-05-31,209511.5686045733
2017-06-30,210573.2720662284
2017-07-31,211468.7039511493
2017-08-31,212372.94569836624
2017-09-30,213322.4567413334
2017-10-31,214406.35865099193
2017-11-30,215587.80340468965
2017-12-31,216820.6095660126
2018-01-31,218048.1320679906
2018-02-28,219231.4064594288
2018-03-31,220596.3696746732
2018-04-30,221833.83852266156
2018-05-31,223036.31701257508
2018-06-30,223919.40989186693
2018-07-31,225025.7993288129
2018-08-31,226084.6479494516
2018-09-30,227141.71642520977
2018-10-31,227861.7080413973
2018-11-30,228589.94443200607
2018-12-31,229374.8238945516
2019-01-31,230341.7191647552
2019-02-28,231481.22266906512
2019-03-31,232710.52889562777
2019-04-30,233818.0507471038
2019-05-31,234654.36204839463
2019-06-30,235389.6187722668
2019-07-31,236068.2232751006
2019-08-31,236805.41869311623
2019-09-30,237452.3564264454
2019-10-31,238337.91553146555
2019-11-30,239523.12416844687
2019-12-31,240903.5308643914
2020-01-31,242391.35165129605
2020-02-29,243847.76065086317
2020-03-31,245376.9163906336
2020-04-30,246713.2334696444
2020-05-31,247480.32776404775
2020-06-30,247933.73452246469
2020-07-31,248672.0427862911
2020-08-31,250373.4958185559
2020-09-30,253246.28081294097
2020-10-31,256718.84962236424
2020-11-30,260621.9172412341
2020-12-31,264410.8882774058
2021-01-31,268073.06540637714
2021-02-28,271829.04644536466
2021-03-31,275738.2734804239
2021-04-30,279984.58598905633
2021-05-31,284656.4062820314
2021-06-30,289667.88941770355
2021-07-31,294121.93938004895
2021-08-31,297225.2730968481
2021-09-30,299042.12714564026
2021-10-31,300831.31977451645
2021-11-30,303337.00052900804
2021-12-31,306473.2814388871
2022-01-31,310878.8735178546
2022-02-28,316192.25855603366
2022-03-31,322443.19487696997
2022-04-30,328638.31936062255
2022-05-31,334146.74501174496
2022-06-30,338729.4243220286
2022-07-31,341129.6923237967
2022-08-31,341484.4582295267
2022-09-30,340216.83645881154
2022-10-31,338980.08864739066
2022-11-30,337931.8036843093
2022-12-31,336979.5392311223
2023-01-31,335796.3125301235
2023-02-28,334987.7919264543
2023-03-31,335029.19959523855
2023-04-30,336073.8093484628
2023-05-31,337756.9881060158
2023-06-30,339713.1895660357
2023-07-31,341456.75877386035
2023-08-31,343039.9636760472
2023-09-30,344209.7586545642
2023-10-31,345084.40277336823
2023-11-30,345718.29381233227
2023-12-31,346181.85989915294
2024-01-31,346625.3092201509
2024-02-29,347441.84998354025
