,sold,listed,county_avg_value,sold_above_value,median_price,national_avg_value
2022-05-31,1048.0,1479.0,327149.84096590267,0.7240932642487047,323000.0,334146.74501174496
2022-06-30,1219.0,1643.0,331579.01179249614,0.7269969666329625,350000.0,338729.4243220286
2022-07-31,1120.0,1660.0,334305.13972108375,0.6425233644859814,348950.0,341129.6923237967
2022-08-31,1185.0,1620.0,335051.2938563016,0.5971615720524017,345000.0,341484.4582295267
2022-09-30,996.0,1526.0,334367.82658884994,0.5426751592356688,330250.0,340216.83645881154
2022-10-31,823.0,1476.0,333855.7512776505,0.4847560975609756,330000.0,338980.08864739066
2022-11-30,793.0,1318.0,334227.3461223896,0.4654605263157895,317500.0,337931.8036843093
2022-12-31,785.0,1064.0,335021.5842638039,0.4639865996649916,300000.0,336979.5392311223
2023-01-31,578.0,980.0,335344.0939047391,0.398633257403189,300000.0,335796.3125301235
2023-02-28,495.0,872.0,336301.8326470374,0.4761904761904761,302000.0,334987.7919264543
2023-03-31,706.0,936.0,337939.68017104245,0.5319926873857403,300000.0,335029.19959523855
2023-04-30,612.0,1028.0,340934.69551278464,0.6192468619246861,328000.0,336073.8093484628
2023-05-31,786.0,1139.0,344249.7396505296,0.6336134453781512,345100.0,337756.9881060158
2023-06-30,958.0,1250.0,347875.19918209006,0.6775510204081633,350000.0,339713.1895660357
2023-07-31,774.0,1257.0,352096.6116124506,0.693631669535284,365000.0,341456.75877386035
2023-08-31,901.0,1184.0,356566.9957036418,0.6285310734463276,359000.0,343039.9636760472
